phenotype,accuracy,f1_score
(((conv*3))*1)fc*1*512*lr-0.1,0.1003030315041542,0.0
(((conv*3)pool-)*1)fc*2*512*lr-0.1,0.09808080891768138,0.0
(((conv*3)bnorm-)*1)fc*0*128*lr-0.1,0.2197979837656021,0.17039790749549866
(((conv*2))*3)fc*1*256*lr-0.1,0.0989899014433225,0.0
(((conv*1))*2)fc*1*512*lr-0.01,0.0997979814807574,0.0
(((conv*3)pool-)*3)fc*2*256*lr-0.001,0.7730302810668945,0.7707926630973816
(((conv*1))*3)fc*1*256*lr-0.1,0.09494949628909428,0.0
(((conv*3)bnorm-pool-)*1)fc*1*256*lr-0.1,0.10272727409998576,0.0
(((conv*1)bnorm-)*1)fc*0*128*lr-0.1,0.35999999443689984,0.2632332146167755
(((conv*2)pool-)*1)fc*2*512*lr-0.001,0.6861616174379984,0.6869586110115051
(((conv*1))*2)fc*1*64*lr-0.001,0.5982828338940939,0.6002315282821655
(((conv*2))*3)fc*2*128*lr-0.0001,0.6643434564272562,0.6661624312400818
(((conv*1)pool-dropout)*3)fc*0*512*lr-0.1,0.10040404150883357,0.0
(((conv*1))*3)fc*0*256*lr-0.01,0.46959595878918964,0.4585694670677185
(((conv*1)bnorm-pool-)*1)fc*1*256*lr-0.01,0.5626262625058492,0.5565776228904724
(((conv*2)pool-)*2)fc*2*256*lr-0.01,0.09787879139184952,0.0
(((conv*1)bnorm-)*3)fc*2*256*lr-0.1,0.10141414155562718,0.0
(((conv*3))*1)fc*0*256*lr-0.001,0.6355555454889933,0.6302789449691772
(((conv*2)bnorm-pool-)*2)fc*2*256*lr-0.1,0.0982828289270401,0.0
(((conv*2)bnorm-)*1)fc*2*256*lr-0.001,0.6171717246373495,0.6215277314186096
(((conv*3)pool-dropout)*2)fc*1*64*lr-0.001,0.8218181729316711,0.8257326483726501
(((conv*3)pool-dropout)*2)fc*0*64*lr-0.1,0.10232323408126831,0.0
(((conv*1)pool-)*1)fc*0*512*lr-0.001,0.6410100857416788,0.6277493238449097
(((conv*1)bnorm-pool-)*1)fc*0*64*lr-0.1,0.3846464653809865,0.2428632527589798
(((conv*1)pool-dropout)*3)fc*0*128*lr-0.01,0.46484848856925964,0.23822477459907532
(((conv*2)pool-dropout)*1)fc*2*128*lr-0.01,0.47141413887341815,0.41053465008735657
(((conv*3)bnorm-)*1)fc*0*256*lr-0.1,0.3585858643054962,0.3689808249473572
(((conv*1))*2)fc*2*256*lr-0.001,0.6207070748011271,0.6175431609153748
(((conv*1))*2)fc*2*64*lr-0.001,0.6180808146794637,0.6094863414764404
