,generations,grammar,dataset,generation,accuracy,f1_score
0,30,assuncao,cifar10,0,0.5928333600362142,0.5909833113352457
1,30,assuncao,cifar10,1,0.5928333600362142,0.5909833113352457
2,30,assuncao,cifar10,2,0.5928333600362142,0.5909833113352457
3,30,assuncao,cifar10,3,0.5928333600362142,0.5909833113352457
4,30,assuncao,cifar10,4,0.6205000281333923,0.6208349863688151
5,30,assuncao,cifar10,5,0.6408333778381348,0.6220253705978394
6,30,assuncao,cifar10,6,0.7430000503857931,0.7450161178906759
7,30,assuncao,cifar10,7,0.7430000503857931,0.7450161178906759
8,30,assuncao,cifar10,8,0.7430000503857931,0.7450161178906759
9,30,assuncao,cifar10,9,0.7430000503857931,0.7450161178906759
10,30,assuncao,cifar10,10,0.7430000503857931,0.7450161178906759
11,30,assuncao,cifar10,11,0.7511667211850485,0.7515589793523153
12,30,assuncao,cifar10,12,0.7511667211850485,0.7515589793523153
13,30,assuncao,cifar10,13,0.7511667211850485,0.7515589793523153
14,30,assuncao,cifar10,14,0.7511667211850485,0.7515589793523153
15,30,assuncao,cifar10,15,0.7675000429153442,0.7703373630841573
16,30,assuncao,cifar10,16,0.7675000429153442,0.7703373630841573
17,30,assuncao,cifar10,17,0.7675000429153442,0.7703373630841573
18,30,assuncao,cifar10,18,0.7675000429153442,0.7703373630841573
19,30,assuncao,cifar10,19,0.7748333811759949,0.77541583776474
20,30,assuncao,cifar10,20,0.7748333811759949,0.77541583776474
21,30,assuncao,cifar10,21,0.7748333811759949,0.77541583776474
22,30,assuncao,cifar10,22,0.7750000556310018,0.7761008143424988
23,30,assuncao,cifar10,23,0.7750000556310018,0.7761008143424988
24,30,assuncao,cifar10,24,0.781166692574819,0.7830846309661865
25,30,assuncao,cifar10,25,0.781166692574819,0.7830846309661865
26,30,assuncao,cifar10,26,0.7925000588099161,0.7958869934082031
27,30,assuncao,cifar10,27,0.7925000588099161,0.7958869934082031
28,30,assuncao,cifar10,28,0.7925000588099161,0.7958869934082031
29,30,assuncao,cifar10,29,0.7970000306765238,0.7966034611066183
30,30,assuncao,cifar10,30,0.7970000306765238,0.7966034611066183
31,30,assuncao,eurosat,0,0.770061711470286,0.763763427734375
32,30,assuncao,eurosat,1,0.8743826945622762,0.8753939270973206
33,30,assuncao,eurosat,2,0.8743826945622762,0.8753939270973206
34,30,assuncao,eurosat,3,0.8925925890604655,0.8916608095169067
35,30,assuncao,eurosat,4,0.8925925890604655,0.8916608095169067
36,30,assuncao,eurosat,5,0.8925925890604655,0.8916608095169067
37,30,assuncao,eurosat,6,0.8925925890604655,0.8916608095169067
38,30,assuncao,eurosat,7,0.8925925890604655,0.8916608095169067
39,30,assuncao,eurosat,8,0.8925925890604655,0.8916608095169067
40,30,assuncao,eurosat,9,0.8969135681788126,0.8981880346934
41,30,assuncao,eurosat,10,0.9160493612289429,0.9174136519432068
42,30,assuncao,eurosat,11,0.9160493612289429,0.9174136519432068
43,30,assuncao,eurosat,12,0.9160493612289429,0.9174136519432068
44,30,assuncao,eurosat,13,0.9160493612289429,0.9174136519432068
45,30,assuncao,eurosat,14,0.9160493612289429,0.9174136519432068
46,30,assuncao,eurosat,15,0.9160493612289429,0.9174136519432068
47,30,assuncao,eurosat,16,0.9160493612289429,0.9174136519432068
48,30,assuncao,eurosat,17,0.9160493612289429,0.9174136519432068
49,30,assuncao,eurosat,18,0.9160493612289429,0.9174136519432068
50,30,assuncao,eurosat,19,0.9160493612289429,0.9174136519432068
51,30,assuncao,eurosat,20,0.9160493612289429,0.9174136519432068
52,30,assuncao,eurosat,21,0.9160493612289429,0.9174136519432068
53,30,assuncao,eurosat,22,0.9160493612289429,0.9174136519432068
54,30,assuncao,eurosat,23,0.9160493612289429,0.9174136519432068
55,30,assuncao,eurosat,24,0.9160493612289429,0.9174136519432068
56,30,assuncao,eurosat,25,0.9160493612289429,0.9174136519432068
57,30,assuncao,eurosat,26,0.9160493612289429,0.9174136519432068
58,30,assuncao,eurosat,27,0.9311728080113729,0.9330357313156128
59,30,assuncao,eurosat,28,0.9320987661679586,0.9330357313156128
60,30,assuncao,eurosat,29,0.9320987661679586,0.9330357313156128
61,30,assuncao,eurosat,30,0.9320987661679586,0.9330357313156128
62,30,assuncao,kmnist,0,0.8880000511805216,0.8880355556805929
63,30,assuncao,kmnist,1,0.896333376566569,0.8956918120384216
64,30,assuncao,kmnist,2,0.896333376566569,0.8956918120384216
65,30,assuncao,kmnist,3,0.9196667273839315,0.9203279415766398
66,30,assuncao,kmnist,4,0.9278333783149719,0.9280990958213806
67,30,assuncao,kmnist,5,0.9548333883285522,0.9557351668675741
68,30,assuncao,kmnist,6,0.9548333883285522,0.9557351668675741
69,30,assuncao,kmnist,7,0.9590000510215759,0.9596325755119324
70,30,assuncao,kmnist,8,0.9590000510215759,0.9596325755119324
71,30,assuncao,kmnist,9,0.9596667289733887,0.9606246550877889
72,30,assuncao,kmnist,10,0.9596667289733887,0.9606246550877889
73,30,assuncao,kmnist,11,0.9596667289733887,0.9606246550877889
74,30,assuncao,kmnist,12,0.9636666973431905,0.9641677141189575
75,30,assuncao,kmnist,13,0.9636666973431905,0.9641677141189575
76,30,assuncao,kmnist,14,0.9636666973431905,0.9641677141189575
77,30,assuncao,kmnist,15,0.9636666973431905,0.9641677141189575
78,30,assuncao,kmnist,16,0.9648333787918091,0.965514083703359
79,30,assuncao,kmnist,17,0.9670000473658243,0.9669549266497294
80,30,assuncao,kmnist,18,0.9670000473658243,0.9669549266497294
81,30,assuncao,kmnist,19,0.96833336353302,0.9696240623792013
82,30,assuncao,kmnist,20,0.96833336353302,0.9696240623792013
83,30,assuncao,kmnist,21,0.96833336353302,0.9696240623792013
84,30,assuncao,kmnist,22,0.96833336353302,0.9696240623792013
85,30,assuncao,kmnist,23,0.96833336353302,0.9696240623792013
86,30,assuncao,kmnist,24,0.9695000449816386,0.970450758934021
87,30,assuncao,kmnist,25,0.9695000449816386,0.970450758934021
88,30,assuncao,kmnist,26,0.9698333740234375,0.970450758934021
89,30,assuncao,kmnist,27,0.9698333740234375,0.970450758934021
90,30,assuncao,kmnist,28,0.9698333740234375,0.970450758934021
91,30,assuncao,kmnist,29,0.9698333740234375,0.970450758934021
92,30,assuncao,kmnist,30,0.9698333740234375,0.970450758934021
93,30,assuncao,mnist,0,0.8800000548362732,0.751837799946467
94,30,assuncao,mnist,1,0.9050000309944153,0.9041951298713684
95,30,assuncao,mnist,2,0.9793333808581034,0.9794501662254333
96,30,assuncao,mnist,3,0.9793333808581034,0.9794501662254333
97,30,assuncao,mnist,4,0.9793333808581034,0.9794501662254333
98,30,assuncao,mnist,5,0.9908333818117777,0.9909297625223795
99,30,assuncao,mnist,6,0.9908333818117777,0.9909297625223795
100,30,assuncao,mnist,7,0.9918333689371744,0.9921107888221741
101,30,assuncao,mnist,8,0.9918333689371744,0.9921107888221741
102,30,assuncao,mnist,9,0.9921667178471884,0.9921107888221741
103,30,assuncao,mnist,10,0.9933333794275919,0.9926776885986328
104,30,assuncao,mnist,11,0.9935000538825989,0.9931737184524536
105,30,assuncao,mnist,12,0.9940000375111898,0.9938587347666422
106,30,assuncao,mnist,13,0.9948333899180094,0.994850774606069
107,30,assuncao,mnist,14,0.9951666990915934,0.9952051043510437
108,30,assuncao,mnist,15,0.9951666990915934,0.9952051043510437
109,30,assuncao,mnist,16,0.9963334004084269,0.9963625073432922
110,30,assuncao,mnist,17,0.9963334004084269,0.9963625073432922
111,30,assuncao,mnist,18,0.9963334004084269,0.9963625073432922
112,30,assuncao,mnist,19,0.9963334004084269,0.9963625073432922
113,30,assuncao,mnist,20,0.9963334004084269,0.9963625073432922
114,30,assuncao,mnist,21,0.9963334004084269,0.9963625073432922
115,30,assuncao,mnist,22,0.9963334004084269,0.9963625073432922
116,30,assuncao,mnist,23,0.9963334004084269,0.9963625073432922
117,30,assuncao,mnist,24,0.9963334004084269,0.9963625073432922
118,30,assuncao,mnist,25,0.9963334004084269,0.9963625073432922
119,30,assuncao,mnist,26,0.9963334004084269,0.9963625073432922
120,30,assuncao,mnist,27,0.9963334004084269,0.9963625073432922
121,30,assuncao,mnist,28,0.9963334004084269,0.9963625073432922
122,30,assuncao,mnist,29,0.9963334004084269,0.9963625073432922
123,30,assuncao,mnist,30,0.9963334004084269,0.9963625073432922
124,30,assuncao,octmnist,0,0.5876667102177938,0.5876890818277994
125,30,assuncao,octmnist,1,0.6036667029062907,0.6039030949274699
126,30,assuncao,octmnist,2,0.6310000419616699,0.6243427395820618
127,30,assuncao,octmnist,3,0.6310000419616699,0.6243427395820618
128,30,assuncao,octmnist,4,0.6393333673477173,0.642764131228129
129,30,assuncao,octmnist,5,0.6393333673477173,0.642764131228129
130,30,assuncao,octmnist,6,0.640333374341329,0.642764131228129
131,30,assuncao,octmnist,7,0.6503333648045858,0.6558314363161722
132,30,assuncao,octmnist,8,0.6503333648045858,0.6558314363161722
133,30,assuncao,octmnist,9,0.6503333648045858,0.6558314363161722
134,30,assuncao,octmnist,10,0.6503333648045858,0.6558314363161722
135,30,assuncao,octmnist,11,0.6503333648045858,0.6558314363161722
136,30,assuncao,octmnist,12,0.6633333762486776,0.6663876374562582
137,30,assuncao,octmnist,13,0.6633333762486776,0.6663876374562582
138,30,assuncao,octmnist,14,0.6633333762486776,0.6663876374562582
139,30,assuncao,octmnist,15,0.6633333762486776,0.6663876374562582
140,30,assuncao,octmnist,16,0.6633333762486776,0.6691468159357706
141,30,assuncao,octmnist,17,0.6633333762486776,0.6691468159357706
142,30,assuncao,octmnist,18,0.6646667122840881,0.6691468159357706
143,30,assuncao,octmnist,19,0.6646667122840881,0.6691468159357706
144,30,assuncao,octmnist,20,0.6646667122840881,0.6691468159357706
145,30,assuncao,octmnist,21,0.6646667122840881,0.6691468159357706
146,30,assuncao,octmnist,22,0.6706666946411133,0.6707774996757507
147,30,assuncao,octmnist,23,0.6706666946411133,0.6707774996757507
148,30,assuncao,octmnist,24,0.6706666946411133,0.6707774996757507
149,30,assuncao,octmnist,25,0.6706666946411133,0.6707774996757507
150,30,assuncao,octmnist,26,0.684000035127004,0.6835937102635702
151,30,assuncao,octmnist,27,0.6893333594004313,0.6938709219296774
152,30,assuncao,octmnist,28,0.7063333590825399,0.7004432678222656
153,30,assuncao,octmnist,29,0.7063333590825399,0.7004432678222656
154,30,assuncao,octmnist,30,0.7140000263849894,0.7145337065060934
155,30,assuncao,organmnist_axial,0,0.7509468793869019,0.7510812878608704
156,30,assuncao,organmnist_axial,1,0.8093336423238119,0.8096094926198324
157,30,assuncao,organmnist_axial,2,0.8144523104031881,0.815742552280426
158,30,assuncao,organmnist_axial,3,0.8144523104031881,0.815742552280426
159,30,assuncao,organmnist_axial,4,0.8144523104031881,0.815742552280426
160,30,assuncao,organmnist_axial,5,0.8432332078615824,0.8436079223950704
161,30,assuncao,organmnist_axial,6,0.8432332078615824,0.8436079223950704
162,30,assuncao,organmnist_axial,7,0.8432332078615824,0.8436079223950704
163,30,assuncao,organmnist_axial,8,0.8480706413586935,0.8487878640492758
164,30,assuncao,organmnist_axial,9,0.8587392568588257,0.8592301408449808
165,30,assuncao,organmnist_axial,10,0.8627329667409261,0.8625390529632568
166,30,assuncao,organmnist_axial,11,0.8627329667409261,0.8625390529632568
167,30,assuncao,organmnist_axial,12,0.8627329667409261,0.8625390529632568
168,30,assuncao,organmnist_axial,13,0.8683016300201416,0.8685658971468607
169,30,assuncao,organmnist_axial,14,0.8683016300201416,0.8685658971468607
170,30,assuncao,organmnist_axial,15,0.8683016300201416,0.8685658971468607
171,30,assuncao,organmnist_axial,16,0.8683016300201416,0.8685658971468607
172,30,assuncao,organmnist_axial,17,0.8683016300201416,0.868597129980723
173,30,assuncao,organmnist_axial,18,0.8683016300201416,0.868597129980723
174,30,assuncao,organmnist_axial,19,0.8683016300201416,0.868597129980723
